case_id,location_code,cluster_number,block_number,SRQ,date,form_id,username,Contact,Participation,Return,Residency_Requirement,Fecha_de_nacimiento,Sex,Number_in_Family,Prior_Product_Use,Current_Product_Use,Mosquitero_Use,Recommend_to_others,Problems_with_Repellents,type_of_problem,Otra_Respuesta_Problems_with_Repellents,Pay_for_Repellents,Mosquito_Density,Mosquito_Bite_Rate,Tablet_Use,SRQ1
3c37360a-2cab-4f72-9e97-664fcafbb359,PU177,4.1,442,sr2,2018-06-22,3c64b065-12ad-4485-aef7-37f825625b0f,iquitos_nn,yes,yes,NA,yes,1955-12-19,female,1,yes,less,never,no,never,NA,NA,yes,same,same,difficult,sr2
20f54f68-1690-466e-a9c8-8e9e4fe55ed6,PU209,4.1,442,sr3,2019-01-22,0422cb60-78bb-4b70-9604-7a73af55c4de,rosana,yes,yes,NA,yes,1950-12-12,female,NA,yes,less,never,yes,never,NA,NA,yes,less,less,easy,sr3
20f54f68-1690-466e-a9c8-8e9e4fe55ed6,PU209,4.1,442,sr2,2018-05-25,54bd7fd4-48a3-47c0-8a0d-6f31b864c958,iquitos_nn,yes,yes,NA,yes,1950-12-12,female,1,yes,less,never,yes,never,NA,NA,no,less,same,easy,sr2
20f54f68-1690-466e-a9c8-8e9e4fe55ed6,PU209,4.1,442,sr1,2017-05-02,605e9cbe-ad5b-41d2-a11b-811bde34bc79,madison,yes,yes,NA,yes,1950-12-12,female,2,yes,equal,never,yes,never,NA,NA,no,less,same,easy,sr1
4222c947-c7e1-46e5-a174-78d0cc04bcd6,PU189B,4.1,442,sr3,2019-01-22,fca15ed3-7c9d-45b8-b538-460f560d4eb0,rosana,yes,yes,NA,yes,1969-10-07,female,NA,yes,less,never,yes,yes,appearance,NA,no,less,same,easy,sr3
4222c947-c7e1-46e5-a174-78d0cc04bcd6,PU189B,4.1,442,sr2,2018-06-22,633ed440-af02-4791-a794-a1157fedcff7,iquitos_nn,yes,yes,NA,yes,1963-10-08,female,1,never,NA,never,yes,never,NA,NA,no,less,same,easy,sr2
7571ca1b-aa5a-42e8-b7f4-ef906c7dff58,PU207,4.1,442,sr3,2019-01-22,afe6d1e7-eb4f-4841-9368-cdfe22188fb3,rosana,yes,yes,NA,yes,1991-01-15,female,NA,yes,less,equal,yes,never,NA,NA,yes,less,less,easy,sr3
7571ca1b-aa5a-42e8-b7f4-ef906c7dff58,PU207,4.1,442,sr2,2018-05-25,35d5691a-723a-4741-ae26-79ab8ffb8b27,iquitos_nn,yes,yes,NA,yes,1991-01-20,female,1,yes,less,equal,yes,never,NA,NA,yes,less,less,easy,sr2
496b3c2e-cfdb-46a1-9b73-d939a4805c16,PU208,4.1,442,sr3,2019-01-22,ed2a32eb-c762-4ecc-83ba-891c09199c3f,rosana,yes,yes,NA,yes,1958-07-13,female,NA,yes,less,never,yes,never,NA,NA,yes,less,less,easy,sr3
bb13071e-7620-4f50-b75f-4d465296f31b,PU174,4.1,442,NA,2019-01-22,115be561-daee-4406-88b3-9b9dddc7f5e9,rosana,yes,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sr3
bb13071e-7620-4f50-b75f-4d465296f31b,PU174,4.1,442,sr2,2018-05-25,db18eca6-90d1-4daf-985c-ef2b46128f17,iquitos_nn,yes,yes,NA,yes,1961-10-22,female,11,never,NA,equal,yes,never,NA,NA,no,same,same,easy,sr2
bb13071e-7620-4f50-b75f-4d465296f31b,PU174,4.1,442,NA,2017-04-27,cd21e79f-481a-4ab1-8920-8ef0bcd871da,madison,yes,no,no,yes,1991-06-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sr1
fb0eafa1-a577-4b5b-b592-99e4a71cddee,PU182,4.1,442,NA,2019-01-22,a5fe204b-bb0c-4e1a-ad7d-77a1f2a878cd,rosana,yes,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sr3
686d718d-fc62-45ab-b121-05750a08e7d9,PU201A,4.1,442,sr3,2019-01-22,d9f3d5e7-07ca-423a-a46a-95156acbcd19,rosana,yes,yes,NA,yes,1978-07-26,female,NA,yes,equal,equal,no,never,NA,NA,yes,less,same,easy,sr3
686d718d-fc62-45ab-b121-05750a08e7d9,PU201A,4.1,442,sr1,2017-05-02,e93f1a21-af29-45fb-b15c-40c89eb97c0d,madison,yes,yes,NA,yes,1997-01-24,female,3,never,NA,equal,no,never,NA,NA,no,same,same,easy,sr1
5a579cca-8b43-4a14-91f8-31a290edfab9,PU201B,4.1,442,sr3,2019-01-22,176ff46d-cbf6-43c9-a229-b7ccd1fa9f9b,rosana,yes,yes,NA,yes,1956-11-18,female,NA,yes,less,never,yes,never,NA,NA,yes,less,less,easy,sr3
9ebd01b0-092a-4d85-94b7-9b8270b196ca,PU246,4.1,448,NA,2019-01-22,d70480c3-19b0-47a1-b74c-f1a86de6d77a,sandra,yes,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sr3
884297d0-ff5f-40a2-9818-6b3c87dc2805,PU242,4.1,448,sr3,2019-01-22,22c6b23e-f738-4cd8-8e84-5ee43cdb0d52,sandra,yes,yes,NA,yes,1949-12-03,female,NA,never,NA,never,no,never,NA,NA,no,less,same,easy,sr3
884297d0-ff5f-40a2-9818-6b3c87dc2805,PU242,4.1,448,sr2,2018-06-22,dc0ee1ad-8e6a-4112-b1cd-8c9167a9e999,iquitos_fc,yes,yes,NA,yes,1976-01-17,female,1,yes,less,never,yes,never,NA,NA,yes,less,same,easy,sr2
884297d0-ff5f-40a2-9818-6b3c87dc2805,PU242,4.1,448,NA,2018-05-25,3b05fba8-9349-4081-bc92-8697407c2dee,mollybarry,yes,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sr2
c2213126-df26-4645-8ce7-88e4686f352b,PU241,4.1,448,sr3,2019-01-22,8e00a8c4-7698-476e-a0c3-54a55a836500,sandra,yes,yes,NA,yes,1952-12-31,female,NA,never,NA,never,yes,never,NA,NA,yes,less,same,easy,sr3
c2213126-df26-4645-8ce7-88e4686f352b,PU241,4.1,448,sr2,2018-05-25,fcb2e207-a8c6-448c-afd3-f82ce253c27d,mollybarry,yes,yes,NA,yes,1985-02-06,male,1,never,NA,never,yes,never,NA,NA,no,same,less,easy,sr2
c2213126-df26-4645-8ce7-88e4686f352b,PU241,4.1,448,sr1,2017-05-02,086a7548-a141-4ec3-bd6a-a2d369cc08da,madison,yes,yes,NA,yes,1978-08-07,female,2,never,NA,never,yes,never,NA,NA,no,more,same,difficult,sr1
70ec5441-e818-48f5-a767-598892aa9c5e,PU238B,4.1,448,sr3,2019-01-22,a2ee9955-d2e0-45c8-b46f-bd48cb8a1914,sandra,yes,yes,NA,yes,1964-11-15,female,NA,yes,less,never,yes,never,NA,NA,no,less,same,easy,sr3
70ec5441-e818-48f5-a767-598892aa9c5e,PU238B,4.1,448,sr2,2018-05-25,2bee81e3-eaec-495d-b26a-8e214bba1607,mollybarry,yes,yes,NA,yes,1959-06-02,female,1,yes,less,less,yes,never,NA,NA,yes,less,less,easy,sr2
70ec5441-e818-48f5-a767-598892aa9c5e,PU238B,4.1,448,sr1,2017-05-02,8e1136ba-1b2e-4a02-96b3-9c0c7f3db67c,madison,yes,yes,NA,yes,1964-11-15,female,2,yes,less,less,yes,never,NA,NA,no,less,less,easy,sr1
c0867282-da36-4c04-82fa-7f5632a9759b,PU237B-238A,4.1,448,sr3,2019-01-22,aea753d1-2607-4f7f-b4c9-ae67daa6ede8,sandra,yes,yes,NA,yes,1980-11-29,female,NA,never,NA,never,yes,never,NA,NA,yes,less,same,easy,sr3
c0867282-da36-4c04-82fa-7f5632a9759b,PU237B-238A,4.1,448,sr2,2018-05-25,f3fc5805-4d66-4218-b138-d191f0d3de44,mollybarry,yes,yes,NA,yes,1974-07-02,male,1,never,NA,more,yes,yes,smell,NA,yes,less,less,easy,sr2
c0867282-da36-4c04-82fa-7f5632a9759b,PU237B-238A,4.1,448,sr1,2017-05-02,39462ecc-24e0-4ff5-a274-c78e9d1e673b,madison,yes,yes,NA,yes,1971-10-30,female,13,yes,less,less,yes,never,NA,NA,yes,less,less,easy,sr1
bec34aef-8d6f-469f-b536-4459fa025b0d,PU233B,4.1,448,sr3,2019-01-22,3968fc4d-b397-4678-92d6-e2239d26653e,sandra,yes,yes,NA,yes,1942-10-06,female,NA,never,NA,equal,no,never,NA,NA,no,same,more,easy,sr3
bec34aef-8d6f-469f-b536-4459fa025b0d,PU233B,4.1,448,sr2,2018-06-22,0471efb6-7903-46c1-911c-52017ec3912e,iquitos_fc,yes,yes,NA,yes,1935-07-25,male,1,never,NA,never,yes,never,NA,NA,no,less,less,difficult,sr2
39a378a0-9921-451c-bed0-6ddade125f54,PU233A,4.1,448,sr3,2019-01-22,2cb5f657-ddc0-425b-bb70-5397b97c6007,sandra,yes,yes,NA,yes,1983-11-27,female,NA,yes,equal,never,no,never,NA,NA,no,same,more,easy,sr3
39a378a0-9921-451c-bed0-6ddade125f54,PU233A,4.1,448,sr2,2018-05-25,df882772-429f-4597-9063-d82f8a1fc927,mollybarry,yes,yes,NA,yes,1983-11-27,female,1,yes,equal,never,yes,never,NA,NA,no,same,same,easy,sr2
39a378a0-9921-451c-bed0-6ddade125f54,PU233A,4.1,448,sr1,2017-05-02,5f5596c4-867c-48b4-85d7-e84c055b8456,madison,yes,yes,NA,yes,1990-10-10,male,4,never,NA,less,yes,never,NA,NA,no,less,more,easy,sr1
d851d0b0-6498-4666-9538-8d1be5f840a0,PU232B,4.1,448,sr3,2019-01-22,f3bce650-411b-4cc0-8c39-8cbd975626a9,sandra,yes,yes,NA,yes,1958-11-14,female,NA,never,NA,never,yes,never,NA,NA,no,less,same,easy,sr3
d851d0b0-6498-4666-9538-8d1be5f840a0,PU232B,4.1,448,sr2,2018-06-22,4ba66306-77ad-4e4c-a7d4-6bc84e702044,iquitos_fc,yes,yes,NA,yes,1986-09-11,male,1,never,NA,never,yes,yes,other,no ayunta a los zancudos siempre lo hay,no,same,same,easy,sr2
d851d0b0-6498-4666-9538-8d1be5f840a0,PU232B,4.1,448,sr1,2017-05-02,00d648c7-b42a-4252-8fcc-647d14f395a2,madison,yes,yes,NA,yes,1984-11-01,male,7,never,NA,equal,yes,never,NA,NA,no,less,less,easy,sr1
